"","x"
"995",12.21
"996",12.44
"997",12.43
"998",12.43
"999",12.43
"1000",12.43
"1001",12.43
"1002",12.43
"1003",13.9
"1004",13.9
"1005",13.9
"1006",13.9
"1007",13.9
"1008",13.9
"1009",13.9
"1010",13.68
"1011",13.68
"1012",13.9
"1013",13.9
"1014",13.9
"1015",13.9
"1016",13.9
"1017",13.9
"1018",13.9
"1019",12.43
"1020",12.43
"1021",12.43
"1022",12.43
"1023",12.43
"1024",12.43
"1025",12.43
"1026",12.43
"1027",13.9
"1028",13.9
"1029",14.21
"1030",14.21
"1031",14.21
"1032",13.89
"1033",13.89
"1034",13.89
"1035",14.21
"1036",14.21
"1037",14.21
"1038",13.89
"1039",14.21
"1040",14.21
"1041",14.21
"1042",14.21
"1043",13.89
"1044",13.89
"1045",14.2
"1046",14.2
"1047",14.2
"1048",14.2
"1049",14.2
"1050",14.2
"1051",14.2
"1052",14.2
"1053",14.2
"1054",14.2
"1055",14.2
"1056",14.2
"1057",14.2
"1058",14.2
"1059",14.2
"1060",14.2
"1061",14.2
"1062",14.2
"1063",14.2
"1064",15.87
"1065",15.87
"1066",16.19
"1067",16.19
"1068",16.19
"1069",16.52
"1070",16.52
"1071",16.52
"1072",16.52
"1073",16.19
"1074",16.52
"1075",16.19
"1076",16.52
"1077",16.19
"1078",16.52
"1079",16.52
"1080",16.52
"1081",16.52
"1082",16.51
"1083",16.85
"1084",19.1
"1085",19.1
"1086",19.1
"1087",19.45
"1088",19.45
"1089",17.55
"1090",19.45
"1091",19.45
"1092",19.45
"1093",19.45
"1094",19.81
"1095",19.81
"1096",20.18
"1097",19.81
"1098",20.18
"1099",20.18
"1100",20.18
"1101",20.18
"1102",20.18
"1103",20.56
"1104",20.56
"1105",20.56
"1106",22.34
"1107",22.34
"1108",22.34
"1109",22.34
"1110",24.34
"1111",24.34
"1112",26.24
"1113",23.94
"1114",24.33
"1115",25.83
"1116",25.83
"1117",25.83
"1118",25.44
"1119",25.44
"1120",26.94
"1121",26.55
"1122",26.55
"1123",26.94
"1124",27.33
"1125",27.33
"1126",27.33
"1127",27.33
"1128",27.73
"1129",28.56
"1130",28.56
"1131",28.98
"1132",29.33
"1133",28.93
"1134",31.03
"1135",32.73
"1136",34.4
"1137",36
"1138",36.85
"1139",36.44
"1140",38.14
"1141",38.13
"1142",37.73
"1143",41.43
"1144",58.53
"1145",76.23
"1146",78.63
"1147",81.13
"1148",80.72
"1149",80.72
"1150",80.32
"1151",80.72
"1152",77.43
"1153",77.43
"1154",78.63
"1155",77.43
"1156",77.43
"1157",80.32
"1158",80.32
"1159",82.82
"1160",82.42
"1161",82.04
"1162",82.42
"1163",82.42
"1164",82.04
"1165",82.42
"1166",79.54
"1167",79.92
